weaksubj,abandoned,-1
weaksubj,abandonment,-1
weaksubj,abandon,-1
strongsubj,abase,-1
strongsubj,abasement,-1
strongsubj,abash,-1
weaksubj,abate,-1
weaksubj,abdicate,-1
strongsubj,aberration,-1
strongsubj,aberration,-1
strongsubj,abhor,-1
strongsubj,abhor,-1
strongsubj,abhorred,-1
strongsubj,abhorrence,-1
strongsubj,abhorrent,-1
strongsubj,abhorrently,-1
strongsubj,abhors,-1
strongsubj,abhors,-1
strongsubj,abidance,1
strongsubj,abidance,1
strongsubj,abide,1
strongsubj,abject,-1
strongsubj,abjectly,-1
weaksubj,abjure,-1
weaksubj,abilities,1
weaksubj,ability,1
weaksubj,able,1
weaksubj,abnormal,-1
weaksubj,abolish,-1
strongsubj,abominable,-1
strongsubj,abominably,-1
strongsubj,abominate,-1
strongsubj,abomination,-1
weaksubj,above,1
weaksubj,above-average,1
weaksubj,abound,1
weaksubj,abrade,-1
strongsubj,abrasive,-1
weaksubj,abrupt,-1
strongsubj,abscond,-1
weaksubj,absence,-1
weaksubj,absentee,-1
strongsubj,absent-minded,-1
strongsubj,absolve,1
strongsubj,absolute,0
strongsubj,absolutely,0
weaksubj,absorbed,0
strongsubj,absurd,-1
strongsubj,absurdity,-1
strongsubj,absurdly,-1
strongsubj,absurdness,-1
weaksubj,abundant,1
weaksubj,abundance,1
weaksubj,abuse,-1
weaksubj,abuse,-1
strongsubj,abuse,-1
weaksubj,abuses,-1
weaksubj,abuses,-1
strongsubj,abusive,-1
strongsubj,abysmal,-1
strongsubj,abysmally,-1
strongsubj,abyss,-1
strongsubj,accede,1
strongsubj,accentuate,0
weaksubj,accept,1
weaksubj,acceptance,1
weaksubj,acceptable,1
weaksubj,accessible,1
weaksubj,accidental,-1
strongsubj,acclaim,1
strongsubj,acclaim,1
strongsubj,acclaimed,1
strongsubj,acclamation,1
strongsubj,accolade,1
strongsubj,accolades,1
weaksubj,accommodative,1
weaksubj,accomplish,1
weaksubj,accomplishment,1
weaksubj,accomplishments,1
weaksubj,accord,1
weaksubj,accordance,1
weaksubj,accordantly,1
weaksubj,accost,-1
weaksubj,accountable,-1
weaksubj,accurate,1
weaksubj,accurately,1
strongsubj,accursed,-1
strongsubj,accusation,-1
strongsubj,accusation,-1
strongsubj,accusations,-1
strongsubj,accusations,-1
strongsubj,accuse,-1
strongsubj,accuses,-1
strongsubj,accusing,-1
strongsubj,accusingly,-1
strongsubj,acerbate,-1
strongsubj,acerbic,-1
strongsubj,acerbically,-1
strongsubj,ache,-1
weaksubj,achievable,1
weaksubj,achieve,1
weaksubj,achievement,1
weaksubj,achievements,1
weaksubj,acknowledge,1
weaksubj,acknowledgement,1
weaksubj,acquit,1
strongsubj,acrid,-1
strongsubj,acridly,-1
strongsubj,acridness,-1
strongsubj,acrimonious,-1
strongsubj,acrimoniously,-1
strongsubj,acrimony,-1
weaksubj,active,1
strongsubj,activist,0
strongsubj,activist,0
strongsubj,actual,0
strongsubj,actuality,0
strongsubj,actually,0
strongsubj,acumen,1
strongsubj,adamant,-1
strongsubj,adamantly,-1
weaksubj,adaptable,1
weaksubj,adaptability,1
weaksubj,adaptive,1
weaksubj,addict,-1
weaksubj,addiction,-1
weaksubj,adept,1
